Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy,Family,Class
Switzerland,Western Europe,1,,,1.39651,1.34951,A
Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,A
Denmark,Western Europe,3,7.527,0.03328,1.32548,1.36058,A
Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,A
Canada,North America,5,7.427,0.03553,1.32629,1.32261,A
Finland,Western Europe,6,7.406,0.0314,1.29025,1.31826,A
,Western Europe,7,7.378,,1.32944,,
Sweden,Western Europe,8,7.364,0.03157,1.33171,1.28907,A
New Zealand,Australia and New Zealand,9,7.286,0.03371,1.25018,1.31967,A
Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,A
Israel,Middle East and Northern Africa,11,7.278,0.0347,1.22857,1.22393,B
Costa Rica,Latin America and Caribbean,12,7.226,0.04454,0.95578,1.23788,B
Austria,Western Europe,13,7.2,0.03751,1.33723,1.29704,B
Mexico,Latin America and Caribbean,14,7.187,0.04176,1.02054,0.91451,B
United States,North America,,7.119,,1.39451,,B
Brazil,Latin America and Caribbean,16,6.983,0.04076,0.98124,1.23287,B
Luxembourg,Western Europe,17,6.946,0.03499,1.56391,1.21963,B
Ireland,Western Europe,18,6.94,0.03676,1.33596,1.36948,B
Belgium,Western Europe,19,6.937,0.03595,1.30782,1.28566,B
United Arab Emirates,Middle East and Northern Africa,20,6.901,0.03729,1.42727,1.12575,B
United Kingdom,Western Europe,21,6.867,0.01866,1.26637,1.28548,C
Oman,Middle East and Northern Africa,22,6.853,0.05335,1.36011,1.08182,C
Venezuela,Latin America and Caribbean,23,6.81,0.06476,1.04424,1.25596,C
Singapore,Southeastern Asia,24,6.798,0.0378,1.52186,1.02,C
Panama,Latin America and Caribbean,25,6.786,0.0491,1.06353,1.1985,C
Germany,Western Europe,26,6.75,0.01848,1.32792,1.29937,C
Chile,Latin America and Caribbean,27,,0.058,,1.12447,C
Qatar,,28,6.611,,1.69042,1.0786,D
France,Western Europe,29,6.575,0.03512,1.27778,1.26038,D
Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,D
Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,D
Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,D
Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.24018,D
Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,D
Saudi Arabia,Middle East and Northern Africa,35,6.411,0.04633,1.39541,1.08393,D
Spain,Western Europe,36,6.329,0.03468,1.23011,1.31379,E
Malta,,37,6.302,0.04206,1.2074,1.30203,
Taiwan,Eastern Asia,38,6.298,,,1.07617,E
Kuwait,Middle East and Northern Africa,39,6.295,0.04456,1.55422,1.16594,E
Suriname,Latin America and Caribbean,40,6.269,0.09811,0.99534,0.972,E
Trinidad and Tobago,Latin America and Caribbean,41,6.168,0.10895,1.21183,1.18354,E
El Salvador,Latin America and Caribbean,42,6.13,0.05618,0.76454,1.02507,E
,,43,,0.05224,0.74553,1.04356,E
Uzbekistan,Central and Eastern Europe,,6.003,0.04361,0.63244,1.34043,F
Slovakia,Central and Eastern Europe,45,5.995,0.04267,1.16891,1.26999,F
Japan,Eastern Asia,46,5.987,0.03581,1.27074,1.25712,F
South Korea,Eastern Asia,47,5.984,0.04098,1.24461,0.95774,F
Ecuador,Latin America and Caribbean,48,5.975,0.04528,0.86402,0.99903,F
Bahrain,Middle East and Northern Africa,49,5.96,0.05412,1.32376,1.21624,F
Italy,Western Europe,50,5.948,0.03914,1.25114,1.19777,G
Bolivia,Latin America and Caribbean,51,5.89,0.05642,0.68133,0.97841,G
Moldova,Central and Eastern Europe,52,5.889,0.03799,0.59448,1.01528,G
Paraguay,Latin America and Caribbean,53,5.878,0.04563,0.75985,1.30477,G
Kazakhstan,Central and Eastern Europe,54,5.855,0.04114,1.12254,1.12241,G
Slovenia,Central and Eastern Europe,55,5.848,0.04251,1.18498,1.27385,G
