id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price
0,842,0.6,188,20,756,2549,9,7,19,No,2,dual,medium,Single,1.0,2.0,7568,LCD,g,751.64
1,1021,0.7,136,905,1988,2631,17,3,7,Yes,4,triple,low,Dual,,6.0,53759,Touch,none,885.17
2,563,0.9,145,1263,1716,2603,11,2,9,Yes,4,penta,low,Dual,2.0,6.0,41140,Touch,none,1067.78
3,615,0.8,131,1216,1786,2769,16,8,11,Yes,3,hexa,high,Single,,9.0,10558,LCD,none,819.22
4,1821,0.6,141,1208,1212,1411,8,2,15,Yes,4,dual,medium,Single,13.0,14.0,44436,Touch,none,1023.13
5,1859,0.7,164,1004,1654,1067,17,1,10,No,3,single,low,Dual,3.0,7.0,22633,LCD,none,877.77
6,1821,0.8,139,381,1018,3220,13,8,18,No,4,octa,medium,Single,4.0,10.0,10738,LCD,g,1103.21
7,1954,0.8,187,512,1149,700,16,3,5,No,3,quad,low,Dual,,,24565,Touch,g,858.49
8,1445,0.7,174,386,836,1099,17,1,20,Yes,3,hepta,low,Single,,14.0,53445,LCD,none,590.74
9,509,0.1,93,1137,1224,513,19,10,12,Yes,4,penta,low,Dual,2.0,15.0,9468,LCD,none,679.55
10,769,0.1,182,248,874,3946,5,2,7,Yes,2,penta,high,Dual,,1.0,9886,LCD,none,354.85
11,1520,0.5,177,151,1005,3826,14,9,13,Yes,4,octa,medium,Single,5.0,18.0,33610,Touch,n,950.99
12,1815,0.6,159,607,748,1482,18,0,2,No,3,quad,high,Single,2.0,17.0,33851,LCD,none,576.3
13,803,1.0,198,344,1440,2680,7,1,4,Yes,3,quad,medium,Single,7.0,11.0,17837,LCD,b,511.22
14,1866,0.7,185,356,563,373,14,9,3,No,4,single,low,Single,13.0,17.0,52323,LCD,g,738.11
15,775,0.7,159,862,1864,568,17,15,11,No,3,dual,medium,Single,3.0,16.0,46464,Touch,b,674.88
16,838,0.1,196,984,1850,3554,10,9,19,No,4,octa,low,Single,1.0,4.0,13479,LCD,n,915.6
17,595,0.1,121,441,810,3752,10,2,18,No,4,triple,low,Dual,7.0,17.0,23537,Touch,none,1189.8
18,1131,0.6,101,658,878,1835,19,13,16,Yes,3,penta,low,Dual,11.0,18.0,49432,Touch,none,729.81
19,682,1.0,121,902,1064,2337,11,1,18,Yes,2,quad,low,Single,4.0,11.0,19253,Touch,a,709.37
20,772,0.8,81,1314,1854,2819,17,15,3,No,3,hepta,medium,Dual,12.0,14.0,39936,Touch,none,758.28
21,1709,1.0,156,974,1385,3283,17,1,15,Yes,3,dual,medium,Single,1.0,2.0,13308,LCD,none,1081.99
22,1949,0.3,199,407,822,1433,11,5,20,No,2,quad,high,Dual,4.0,7.0,47297,LCD,b,688.74
23,1602,0.7,114,466,788,1037,8,7,20,Yes,4,triple,high,Dual,4.0,20.0,38437,LCD,none,750.91
24,503,0.4,111,201,1245,2583,11,0,12,No,4,triple,medium,Dual,5.0,13.0,8430,LCD,none,920.94
25,961,0.6,114,291,1434,2782,18,9,7,Yes,4,octa,medium,Dual,,3.0,57402,Touch,a,817.72
26,519,0.3,132,550,645,3763,16,1,4,Yes,4,quad,medium,Dual,7.0,19.0,51655,LCD,b,495.2
27,956,1.0,143,511,1075,3286,17,8,12,No,4,hepta,low,Single,1.0,6.0,41686,Touch,none,992.21
28,1453,0.3,96,187,1311,2373,10,1,10,No,4,dual,medium,Dual,12.0,18.0,52470,Touch,n,926.26
