sim,battery_power,gen,ram,px_width,px_height,price,speed,cores,bluetooth,wifi,speed_ord,cores_ord,sim_ord,bluetooth_bin,gen_2,gen_3,gen_4,cores_dual,cores_hepta,cores_hexa,cores_octa,cores_penta,cores_quad,cores_single,cores_triple,screen_LCD,screen_Touch,wifi_a,wifi_b,wifi_g,wifi_n,wifi_none,sim_Dual,sim_Single
Single,842,2,2549,756,20,751.64,medium,dual,No,g,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Dual,1021,4,2631,1988,905,885.17,low,triple,Yes,none,1,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
Dual,563,4,2603,1716,1263,1067.78,low,penta,Yes,none,1,5,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
Single,615,3,2769,1786,1216,819.22,high,hexa,Yes,none,3,6,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Single,1821,4,1411,1212,1208,1023.13,medium,dual,Yes,none,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Dual,1859,3,1067,1654,1004,877.77,low,single,No,none,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
Single,1821,4,3220,1018,381,1103.21,medium,octa,No,g,2,8,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
Dual,1954,3,700,1149,512,858.49,low,quad,No,g,1,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
Single,1445,3,1099,836,386,590.74,low,hepta,Yes,none,1,7,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Dual,509,4,513,1224,1137,679.55,low,penta,Yes,none,1,5,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
Dual,769,2,3946,874,248,354.85,high,penta,Yes,none,3,5,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
Single,1520,4,3826,1005,151,950.99,medium,octa,Yes,n,2,8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
Single,1815,3,1482,748,607,576.3,high,quad,No,none,3,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
Single,803,3,2680,1440,344,511.22,medium,quad,Yes,b,2,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
Single,1866,4,373,563,356,738.11,low,single,No,g,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
Single,775,3,568,1864,862,674.88,medium,dual,No,b,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Single,838,4,3554,1850,984,915.6,low,octa,No,n,1,8,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Dual,595,4,3752,810,441,1189.8,low,triple,No,none,1,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
Dual,1131,3,1835,878,658,729.81,low,penta,Yes,none,1,5,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
Single,682,2,2337,1064,902,709.37,low,quad,Yes,a,1,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Dual,772,3,2819,1854,1314,758.28,medium,hepta,No,none,2,7,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Single,1709,3,3283,1385,974,1081.99,medium,dual,Yes,none,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Dual,1949,2,1433,822,407,688.74,high,quad,No,b,3,4,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Dual,1602,4,1037,788,466,750.91,high,triple,Yes,none,3,3,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Dual,503,4,2583,1245,201,920.94,medium,triple,No,none,2,3,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Dual,961,4,2782,1434,291,817.72,medium,octa,Yes,a,2,8,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
Dual,519,4,3763,645,550,495.2,medium,quad,Yes,b,2,4,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Single,956,4,3286,1075,511,992.21,low,hepta,No,none,1,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Dual,1453,4,2373,1311,187,926.26,medium,dual,No,n,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Single,851,3,478,1263,1171,584.54,low,penta,No,b,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Dual,1579,2,3532,1739,1358,1272.59,low,hepta,Yes,a,1,7,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Single,1568,3,508,654,413,665.32,low,octa,Yes,a,1,8,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Single,1319,4,2227,1152,85,1053.05,low,single,Yes,b,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
Dual,1310,4,3845,1919,178,1029.02,medium,quad,Yes,none,2,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
Single,644,3,1262,881,311,595.36,high,octa,Yes,none,3,8,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
Dual,725,3,1326,1249,1134,921.33,medium,octa,No,none,2,8,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
Dual,589,3,2113,815,429,750.85,high,quad,Yes,g,3,4,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Dual,1725,4,3429,1307,609,1182.72,medium,dual,Yes,none,2,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Dual,790,4,3169,730,347,1238.51,medium,hexa,No,n,2,6,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Dual,560,3,2150,1613,1448,776.5,low,dual,No,none,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Single,1347,3,2484,967,434,819.01,high,single,No,a,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
Single,1646,4,3339,1932,1725,1042.93,high,dual,Yes,none,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Dual,1253,4,1878,714,685,901.67,low,dual,Yes,none,1,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Single,1656,4,1629,1456,880,763.26,medium,triple,No,none,2,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Single,1195,4,504,1652,1580,946.17,high,dual,Yes,none,3,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Single,1514,2,1152,1810,186,687.51,high,triple,No,a,3,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
Dual,1723,3,3587,1791,202,563.23,medium,octa,Yes,none,2,8,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
Dual,1054,4,2296,774,27,685.21,medium,hepta,Yes,b,2,7,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Dual,578,4,1270,1433,1025,873.76,high,octa,Yes,g,3,8,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Dual,596,2,3238,1854,885,767.66,medium,octa,No,none,2,8,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
Dual,1547,4,2059,1832,1042,1124.21,high,triple,Yes,g,3,3,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
Dual,1760,2,2053,1383,1382,1039.02,medium,octa,No,none,2,8,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
Dual,1654,4,3112,629,546,985.03,medium,dual,Yes,none,2,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Dual,1457,4,1440,1287,1013,882.89,medium,triple,No,n,2,3,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
Dual,1073,2,2908,804,690,728.95,low,hepta,Yes,none,1,7,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Dual,1936,4,2552,1036,667,885.11,medium,triple,No,none,2,3,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Dual,823,3,905,1449,822,678.04,high,octa,Yes,b,3,8,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Dual,987,4,3963,820,581,1148.18,medium,triple,No,g,2,3,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
Single,1757,2,2056,713,265,727.74,low,hexa,No,none,1,6,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Dual,1063,4,2910,683,127,1061.5,medium,penta,No,n,2,5,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
Single,1484,3,1457,969,916,564.65,high,triple,No,none,3,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Single,799,4,431,975,361,667.36,high,octa,Yes,a,3,8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Dual,1156,4,470,547,322,626.46,medium,dual,Yes,none,2,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Single,1720,4,2148,1353,753,913.26,medium,dual,No,n,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Dual,702,4,2955,1570,504,919.42,high,triple,No,none,3,3,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Dual,616,4,3366,1618,651,1072.8,medium,triple,No,none,2,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
Single,1358,4,3068,1858,1565,1260.25,low,quad,Yes,none,1,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
Single,1866,2,3834,1781,108,1404.31,medium,triple,No,none,2,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
Dual,1242,3,1050,1225,459,519.08,medium,dual,No,b,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Dual,1166,4,3993,603,205,992.05,medium,quad,No,none,2,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
Dual,1448,4,3378,1724,570,852.63,low,hepta,Yes,a,1,7,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Single,1407,4,2192,1217,1172,816.15,high,quad,Yes,b,3,4,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
Single,605,4,392,1026,160,610.98,medium,triple,No,none,2,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
Single,1038,3,3709,638,4,909.34,medium,single,No,a,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
Dual,797,2,590,1413,763,488.27,high,quad,Yes,none,3,4,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
Dual,819,4,1814,1242,339,854.28,low,hexa,No,g,1,6,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Single,1114,4,907,1071,1040,732.31,high,triple,No,none,3,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Dual,1234,2,1449,778,166,504.69,medium,single,Yes,a,2,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Dual,1199,4,3448,1552,1168,1140.04,high,quad,Yes,a,3,4,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
Dual,1103,2,1837,1486,990,738.2,medium,hexa,No,b,2,6,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Dual,1589,4,3464,1206,319,1475.94,low,hepta,Yes,a,1,7,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Dual,999,4,2593,1616,1397,893.03,high,quad,No,none,3,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
Dual,1510,2,3484,1752,708,990.07,low,penta,Yes,a,1,5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Single,1008,3,2009,1122,1077,747.7,low,triple,No,none,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
Dual,1127,4,2048,1049,928,961.45,high,single,Yes,g,3,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
